2Th_lab5
Number of tasks = 32
Only need 2 tasks - extra will be ignored...
task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
 404  1449520449.99097610  1449520449.99100494  0.00002885
 405  1449520449.99100900  1449520449.99103808  0.00002909
 406  1449520449.99104190  1449520449.99107099  0.00002909
 407  1449520449.99107504  1449520449.99110293  0.00002789
 408  1449520449.99110699  1449520449.99113488  0.00002789
 409  1449520449.99113894  1449520449.99116802  0.00002909
 410  1449520449.99117088  1449520449.99119997  0.00002909
 411  1449520449.99120402  1449520449.99123192  0.00002789
 412  1449520449.99123597  1449520449.99126601  0.00003004
 413  1449520449.99127007  1449520449.99129891  0.00002885
 414  1449520449.99130297  1449520449.99133205  0.00002909
 415  1449520449.99133492  1449520449.99136400  0.00002909
 416  1449520449.99136806  1449520449.99139690  0.00002885
 417  1449520449.99140096  1449520449.99142909  0.00002813
 418  1449520449.99143291  1449520449.99146104  0.00002813
 419  1449520449.99146509  1449520449.99149299  0.00002789
 420  1449520449.99149704  1449520449.99152589  0.00002885
 421  1449520449.99152899  1449520449.99157691  0.00004792
 422  1449520449.99158311  1449520449.99161506  0.00003195
 423  1449520449.99161792  1449520449.99164701  0.00002909
 424  1449520449.99165106  1449520449.99167991  0.00002885
 425  1449520449.99168396  1449520449.99171209  0.00002813
 426  1449520449.99171591  1449520449.99174595  0.00003004
 427  1449520449.99174905  1449520449.99177790  0.00002885
 428  1449520449.99178195  1449520449.99181104  0.00002909
 429  1449520449.99181509  1449520449.99184394  0.00002885
 430  1449520449.99184799  1449520449.99187589  0.00002789
 431  1449520449.99187994  1449520449.99190807  0.00002813
 432  1449520449.99191189  1449520449.99194098  0.00002909
 433  1449520449.99194503  1449520449.99197412  0.00002909
 434  1449520449.99197793  1449520449.99200702  0.00002909
 435  1449520449.99201107  1449520449.99203992  0.00002885
 436  1449520449.99204397  1449520449.99207306  0.00002909
 437  1449520449.99207592  1449520449.99210501  0.00002909
 438  1449520449.99210906  1449520449.99213696  0.00002789
