2Th_lab5
Number of tasks = 32
Only need 2 tasks - extra will be ignored...
task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
 156  1449520449.98265195  1449520449.98268104  0.00002909
 157  1449520449.98268509  1449520449.98271394  0.00002885
 158  1449520449.98271704  1449520449.98274589  0.00002885
 159  1449520449.98274994  1449520449.98277903  0.00002909
 160  1449520449.98278308  1449520449.98281193  0.00002885
 161  1449520449.98281598  1449520449.98284507  0.00002909
 162  1449520449.98284888  1449520449.98287797  0.00002909
 163  1449520449.98288202  1449520449.98291111  0.00002909
 164  1449520449.98291492  1449520449.98294401  0.00002909
 165  1449520449.98294711  1449520449.98297596  0.00002885
 166  1449520449.98298001  1449520449.98300910  0.00002909
 167  1449520449.98301291  1449520449.98304200  0.00002909
 168  1449520449.98304605  1449520449.98307610  0.00003004
 169  1449520449.98307896  1449520449.98310804  0.00002909
 170  1449520449.98311210  1449520449.98314095  0.00002885
 171  1449520449.98314500  1449520449.98317409  0.00002909
 172  1449520449.98317790  1449520449.98320699  0.00002909
 173  1449520449.98321104  1449520449.98323894  0.00002789
 174  1449520449.98324299  1449520449.98327208  0.00002909
 175  1449520449.98327589  1449520449.98330402  0.00002813
 176  1449520449.98330808  1449520449.98333597  0.00002789
 177  1449520449.98334002  1449520449.98337102  0.00003099
 178  1449520449.98337507  1449520449.98340392  0.00002885
 179  1449520449.98340797  1449520449.98343706  0.00002909
 180  1449520449.98344111  1449520449.98346996  0.00002885
 181  1449520449.98347402  1449520449.98350191  0.00002789
 182  1449520449.98350596  1449520449.98353505  0.00002909
 183  1449520449.98357391  1449520449.98360610  0.00003219
 184  1449520449.98361111  1449520449.98363996  0.00002885
 185  1449520449.98364305  1449520449.98367190  0.00002885
 186  1449520449.98367596  1449520449.98370504  0.00002909
 187  1449520449.98370910  1449520449.98373795  0.00002885
 188  1449520449.98374104  1449520449.98376989  0.00002885
 189  1449520449.98377395  1449520449.98380494  0.00003099
 190  1449520449.98380899  1449520449.98383689  0.00002789
 191  1449520449.98384094  1449520449.98387003  0.00002909
 192  1449520449.98387289  1449520449.98390198  0.00002909
 193  1449520449.98390603  1449520449.98393512  0.00002909
 194  1449520449.98393893  1449520449.98396802  0.00002909
 195  1449520449.98397207  1449520449.98400092  0.00002885
 196  1449520449.98400497  1449520449.98403406  0.00002909
 197  1449520449.98403811  1449520449.98406601  0.00002789
 198  1449520449.98407006  1449520449.98409796  0.00002789
 199  1449520449.98410201  1449520449.98412991  0.00002789
 200  1449520449.98413396  1449520449.98416305  0.00002909
 201  1449520449.98416710  1449520449.98419499  0.00002789
 202  1449520449.98419905  1449520449.98422790  0.00002885
 203  1449520449.98423195  1449520449.98426104  0.00002909
 204  1449520449.98426390  1449520449.98429298  0.00002909
 205  1449520449.98429704  1449520449.98432589  0.00002885
 206  1449520449.98432994  1449520449.98435903  0.00002909
 207  1449520449.98436308  1449520449.98439097  0.00002789
 208  1449520449.98439503  1449520449.98442411  0.00002909
 209  1449520449.98442793  1449520449.98445702  0.00002909
 210  1449520449.98446107  1449520449.98448896  0.00002789
 211  1449520449.98449302  1449520449.98452091  0.00002789
 212  1449520449.98452497  1449520449.98457789  0.00005293
 213  1449520449.98458409  1449520449.98461509  0.00003099
 214  1449520449.98461890  1449520449.98464704  0.00002813
 215  1449520449.98465109  1449520449.98467898  0.00002789
 216  1449520449.98468304  1449520449.98471189  0.00002885
 217  1449520449.98471594  1449520449.98474503  0.00002909
 218  1449520449.98474908  1449520449.98477793  0.00002885
 219  1449520449.98478103  1449520449.98481011  0.00002909
 220  1449520449.98481393  1449520449.98484302  0.00002909
 221  1449520449.98484612  1449520449.98487806  0.00003195
 222  1449520449.98488212  1449520449.98491192  0.00002980
 223  1449520449.98491597  1449520449.98494506  0.00002909
 224  1449520449.98494792  1449520449.98497701  0.00002909
 225  1449520449.98498106  1449520449.98500991  0.00002885
 226  1449520449.98501396  1449520449.98504210  0.00002813
 227  1449520449.98504591  1449520449.98507500  0.00002909
 228  1449520449.98507905  1449520449.98510790  0.00002885
 229  1449520449.98511100  1449520449.98514009  0.00002909
 230  1449520449.98514390  1449520449.98517299  0.00002909
 231  1449520449.98517609  1449520449.98520494  0.00002885
 232  1449520449.98520899  1449520449.98523688  0.00002789
 233  1449520449.98524094  1449520449.98527002  0.00002909
 234  1449520449.98527408  1449520449.98530197  0.00002789
 235  1449520449.98530602  1449520449.98533511  0.00002909
 236  1449520449.98533797  1449520449.98536801  0.00003004
 237  1449520449.98537111  1449520449.98539996  0.00002885
 238  1449520449.98540306  1449520449.98543191  0.00002885
 239  1449520449.98543596  1449520449.98546505  0.00002909
 240  1449520449.98546910  1449520449.98549700  0.00002789
 241  1449520449.98550105  1449520449.98552990  0.00002885
 242  1449520449.98553395  1449520449.98557496  0.00004101
 243  1449520449.98558092  1449520449.98561192  0.00003099
 244  1449520449.98561502  1449520449.98564410  0.00002909
 245  1449520449.98564792  1449520449.98567700  0.00002909
 246  1449520449.98568106  1449520449.98570895  0.00002789
 247  1449520449.98571301  1449520449.98574209  0.00002909
 248  1449520449.98574710  1449520449.98577595  0.00002885
 249  1449520449.98578000  1449520449.98581195  0.00003195
 250  1449520449.98581600  1449520449.98584509  0.00002909
 251  1449520449.98584795  1449520449.98587799  0.00003004
 252  1449520449.98588204  1449520449.98590994  0.00002789
 253  1449520449.98591399  1449520449.98594308  0.00002909
 254  1449520449.98594689  1449520449.98597598  0.00002909
 255  1449520449.98597908  1449520449.98600793  0.00002885
 256  1449520449.98601198  1449520449.98604202  0.00003004
 257  1449520449.98604608  1449520449.98607397  0.00002789
 258  1449520449.98607802  1449520449.98610711  0.00002909
 259  1449520449.98610997  1449520449.98613906  0.00002909
 260  1449520449.98614311  1449520449.98617196  0.00002885
 261  1449520449.98617601  1449520449.98620391  0.00002789
 262  1449520449.98620796  1449520449.98623610  0.00002813
 263  1449520449.98623991  1449520449.98626900  0.00002909
 264  1449520449.98627305  1449520449.98630095  0.00002789
 265  1449520449.98630500  1449520449.98633409  0.00002909
 266  1449520449.98633790  1449520449.98636603  0.00002813
 267  1449520449.98637009  1449520449.98639894  0.00002885
 268  1449520449.98640299  1449520449.98643088  0.00002789
 269  1449520449.98643494  1449520449.98646402  0.00002909
 270  1449520449.98646808  1449520449.98649597  0.00002789
 271  1449520449.98650002  1449520449.98652911  0.00002909
 272  1449520449.98653197  1449520449.98657489  0.00004292
 273  1449520449.98658109  1449520449.98661208  0.00003099
 274  1449520449.98661590  1449520449.98664498  0.00002909
 275  1449520449.98664808  1449520449.98667693  0.00002885
 276  1449520449.98668098  1449520449.98671007  0.00002909
 277  1449520449.98671389  1449520449.98674297  0.00002909
 278  1449520449.98674703  1449520449.98677492  0.00002789
 279  1449520449.98677897  1449520449.98680806  0.00002909
 280  1449520449.98681092  1449520449.98684096  0.00003004
 281  1449520449.98684406  1449520449.98687291  0.00002885
 282  1449520449.98687696  1449520449.98690605  0.00002909
 283  1449520449.98690891  1449520449.98693800  0.00002909
 284  1449520449.98694205  1449520449.98697090  0.00002885
 285  1449520449.98697495  1449520449.98700309  0.00002813
 286  1449520449.98700690  1449520449.98703599  0.00002909
 287  1449520449.98703909  1449520449.98706794  0.00002885
 288  1449520449.98707104  1449520449.98709989  0.00002885
 289  1449520449.98710394  1449520449.98713207  0.00002813
 290  1449520449.98713589  1449520449.98716497  0.00002909
 291  1449520449.98716903  1449520449.98719811  0.00002909
 292  1449520449.98720193  1449520449.98723102  0.00002909
 293  1449520449.98723507  1449520449.98726392  0.00002885
 294  1449520449.98726797  1449520449.98729610  0.00002813
 295  1449520449.98729992  1449520449.98732805  0.00002813
 296  1449520449.98733211  1449520449.98736095  0.00002885
 297  1449520449.98736405  1449520449.98739290  0.00002885
 298  1449520449.98739600  1449520449.98742509  0.00002909
 299  1449520449.98742795  1449520449.98745799  0.00003004
 300  1449520449.98746109  1449520449.98748994  0.00002885
 301  1449520449.98749304  1449520449.98752189  0.00002885
 302  1449520449.98752594  1449520449.98757792  0.00005198
 303  1449520449.98758292  1449520449.98761392  0.00003099
 304  1449520449.98761797  1449520449.98764706  0.00002909
 305  1449520449.98765111  1449520449.98767996  0.00002885
 306  1449520449.98768401  1449520449.98771310  0.00002909
 307  1449520449.98771596  1449520449.98774600  0.00003004
 308  1449520449.98775005  1449520449.98777890  0.00002885
 309  1449520449.98778200  1449520449.98781109  0.00002909
 310  1449520449.98781490  1449520449.98784399  0.00002909
 311  1449520449.98784709  1449520449.98787689  0.00002980
 312  1449520449.98788095  1449520449.98791003  0.00002909
 313  1449520449.98791409  1449520449.98794293  0.00002885
 314  1449520449.98794603  1449520449.98797488  0.00002885
 315  1449520449.98797894  1449520449.98800802  0.00002909
 316  1449520449.98801088  1449520449.98803997  0.00002909
 317  1449520449.98804402  1449520449.98807311  0.00002909
 318  1449520449.98807693  1449520449.98810601  0.00002909
 319  1449520449.98810911  1449520449.98813796  0.00002885
 320  1449520449.98814201  1449520449.98817110  0.00002909
 321  1449520449.98817492  1449520449.98820305  0.00002813
 322  1449520449.98820710  1449520449.98823500  0.00002789
 323  1449520449.98823905  1449520449.98826790  0.00002885
 324  1449520449.98827195  1449520449.98830009  0.00002813
 325  1449520449.98830390  1449520449.98833299  0.00002909
 326  1449520449.98833704  1449520449.98836493  0.00002789
 327  1449520449.98836899  1449520449.98839903  0.00003004
 328  1449520449.98840308  1449520449.98843193  0.00002885
 329  1449520449.98843503  1449520449.98846412  0.00002909
 330  1449520449.98846698  1449520449.98849702  0.00003004
 331  1449520449.98850107  1449520449.98852992  0.00002885
 332  1449520449.98853397  1449520449.98857498  0.00004101
 333  1449520449.98858094  1449520449.98861194  0.00003099
 334  1449520449.98861599  1449520449.98864388  0.00002789
 335  1449520449.98864794  1449520449.98867607  0.00002813
 336  1449520449.98867989  1449520449.98870897  0.00002909
 337  1449520449.98871303  1449520449.98874092  0.00002789
 338  1449520449.98874497  1449520449.98877406  0.00002909
 339  1449520449.98877692  1449520449.98880792  0.00003099
 340  1449520449.98881197  1449520449.98884010  0.00002813
 341  1449520449.98884392  1449520449.98887801  0.00003409
 342  1449520449.98888111  1449520449.98890996  0.00002885
 343  1449520449.98891401  1449520449.98894310  0.00002909
 344  1449520449.98894596  1449520449.98897505  0.00002909
 345  1449520449.98897910  1449520449.98900795  0.00002885
 346  1449520449.98901200  1449520449.98903990  0.00002789
 347  1449520449.98904395  1449520449.98907304  0.00002909
 348  1449520449.98907709  1449520449.98910594  0.00002885
 349  1449520449.98910999  1449520449.98913789  0.00002789
 350  1449520449.98914194  1449520449.98917103  0.00002909
 351  1449520449.98917508  1449520449.98920298  0.00002789
 352  1449520449.98920703  1449520449.98923612  0.00002909
 353  1449520449.98923993  1449520449.98926902  0.00002909
 354  1449520449.98927212  1449520449.98930097  0.00002885
 355  1449520449.98930502  1449520449.98933506  0.00003004
 356  1449520449.98933911  1449520449.98936796  0.00002885
 357  1449520449.98937106  1449520449.98939991  0.00002885
 358  1449520449.98940396  1449520449.98943210  0.00002813
 359  1449520449.98943591  1449520449.98946500  0.00002909
 360  1449520449.98946810  1449520449.98949695  0.00002885
 361  1449520449.98950005  1449520449.98952889  0.00002885
 362  1449520449.98953295  1449520449.98957801  0.00004506
 363  1449520449.98958397  1449520449.98961496  0.00003099
 364  1449520449.98961902  1449520449.98964691  0.00002789
 365  1449520449.98965096  1449520449.98968005  0.00002909
 366  1449520449.98968410  1449520449.98971200  0.00002789
 367  1449520449.98971605  1449520449.98974490  0.00002885
 368  1449520449.98974895  1449520449.98977709  0.00002813
 369  1449520449.98978090  1449520449.98981094  0.00003004
 370  1449520449.98981404  1449520449.98984909  0.00003505
 371  1449520449.98985291  1449520449.98988199  0.00002909
 372  1449520449.98988605  1449520449.98992705  0.00004101
 373  1449520449.98993111  1449520449.98995996  0.00002885
 374  1449520449.98996401  1449520449.98999310  0.00002909
 375  1449520449.98999596  1449520449.99002504  0.00002909
 376  1449520449.99002910  1449520449.99005699  0.00002789
 377  1449520449.99006104  1449520449.99008894  0.00002789
 378  1449520449.99009299  1449520449.99012208  0.00002909
 379  1449520449.99012589  1449520449.99015498  0.00002909
 380  1449520449.99015903  1449520449.99018788  0.00002885
 381  1449520449.99019098  1449520449.99022007  0.00002909
 382  1449520449.99022293  1449520449.99025202  0.00002909
 383  1449520449.99025512  1449520449.99028397  0.00002885
 384  1449520449.99028802  1449520449.99031711  0.00002909
 385  1449520449.99032092  1449520449.99034905  0.00002813
 386  1449520449.99035311  1449520449.99038196  0.00002885
 387  1449520449.99038506  1449520449.99041390  0.00002885
 388  1449520449.99041796  1449520449.99044704  0.00002909
 389  1449520449.99044991  1449520449.99047899  0.00002909
 390  1449520449.99048305  1449520449.99051094  0.00002789
 391  1449520449.99051499  1449520449.99057508  0.00006008
 392  1449520449.99058104  1449520449.99061108  0.00003004
 393  1449520449.99061489  1449520449.99064398  0.00002909
 394  1449520449.99064803  1449520449.99067712  0.00002909
 395  1449520449.99067998  1449520449.99070907  0.00002909
 396  1449520449.99071193  1449520449.99074101  0.00002909
 397  1449520449.99074507  1449520449.99077392  0.00002885
 398  1449520449.99077702  1449520449.99080706  0.00003004
 399  1449520449.99081111  1449520449.99084306  0.00003195
 400  1449520449.99084711  1449520449.99087596  0.00002885
 401  1449520449.99087906  1449520449.99090791  0.00002885
 402  1449520449.99091196  1449520449.99094009  0.00002813
 403  1449520449.99094391  1449520449.99097300  0.00002909
